BUDGET FISCAL YEAR,DEPARTMENT NAME,FUND NAME,ACCOUNT NAME,ADOPTED BUDGET AMOUNT,TOTAL EXPENDITURES,BUDGET CHANGE AMOUNT,BUDGET TRANSFER IN AMOUNT,BUDGET TRANSFER OUT AMOUNT,TOTAL BUDGET,ENCUMBRANCE AMOUNT,PRE-ENCUMBRANCE AMOUNT,BUDGET UNCOMMITTED AMOUNT,ACCOUNT GROUP NAME,FUND,ACCOUNT,DEPARTMENT
2021,HOUSING AND COMMUNITY INVESTMENT DEPARTMENT,"GOB SERIES 2018-A (TAXABLE), PROP HHH CONSTRUCTION FUND",CADENCE (FKA 11408 S. CENTRAL),0.00,4600800.00,5636035.56,0.00,0.00,5636035.56,1035235.56,0.00,0.00,,17C,43TA23,43
2021,HOUSING AND COMMUNITY INVESTMENT DEPARTMENT,HOME INVESTMENT PARTSHIP PROGR,TECHNICAL SERVICES,132000.00,21920.00,0.00,0.00,0.00,132000.00,110080.00,0.00,0.00,SPECIAL,561,43T844,43
2021,HOUSING AND COMMUNITY INVESTMENT DEPARTMENT,HOMELESS EFFORTS - COUNTY FUNDING AGREEMENT FUND,TINY HOME OPERATIONS - ARROYO DRIVE AND AVENUE 60,0.00,,3732920.00,0.00,0.00,3732920.00,3732920.00,0.00,0.00,,63Q,43TA69,43
2021,CITY CLERK,NEIGHBORHOOD COUNCIL FUND,COASTAL SAN PEDRO NEIGHBORHOOD COUNCIL,0.00,24000.00,32000.00,0.00,0.00,32000.00,0.00,0.00,8000.00,,59B,141211,14
2021,CITY CLERK,DOWNTOWN PROP OWNERS MGMT DIST,RECOVERY COSTS,0.00,29856.57,29856.57,0.00,0.00,29856.57,0.00,0.00,0.00,,647,140299,14
2021,ANIMAL SERVICES,ANIMAL WELFARE TRUST,DONATION-FOSTER,0.00,3260.84,15000.00,0.00,0.00,15000.00,3375.17,0.00,8363.99,,859,060021,6
2021,GENERAL SERVICES,GENERAL FUND (GENERAL BUDGET),MARKETING,19442.00,275.71,0.00,0.00,5570.00,13872.00,65.65,0.00,13530.64,EXPENSES,100,004050,40
2021,HOUSING AND COMMUNITY INVESTMENT DEPARTMENT,GENERAL FUND (GENERAL BUDGET),PRINTING AND BINDING,239331.00,158655.57,46300.00,3000.00,0.00,288631.00,64844.43,0.00,65131.00,EXPENSES,100,002120,43
2021,NON-DEPARTMENTAL - WATER AND ELECTRICITY,GENERAL FUND (GENERAL BUDGET),GENERAL SERVICES WATER,4379474.00,2786321.71,0.00,0.00,0.00,4379474.00,573678.29,0.00,1019474.00,SPECIAL,100,000021,60
2021,HOUSING AND COMMUNITY INVESTMENT DEPARTMENT,AFFORDABLE HOUSING AND SUSTAINABLE COMMUNITIES GRANT,VERMONT AND MANCHESTER,0.00,,6000000.00,0.00,0.00,6000000.00,0.00,0.00,6000000.00,,60V,43T870,43
2021,RECREATION AND PARKS,RECREATION & PARKS GRANT,EXIT PARK-PARK DEVELOPMENT,0.00,,13278.19,0.00,0.00,13278.19,0.00,0.00,13278.19,,205,88LMB1,88
2021,WATER AND POWER,"POWER SYSTEM REVENUE BONDS 2019 SERIES D, CONSTRUCTION FUND",OTHER EXPENDITURES,0.00,54000.00,0.00,0.00,0.00,0.00,0.00,0.00,-54000.00,,J8B,981000,98
2021,RECREATION AND PARKS - SPECIAL ACCOUNTS,RECREATION AND PARKS,WEST REGION MAINTENANCE,0.00,,230586.39,0.00,0.00,230586.39,0.00,0.00,230586.39,,302,89822M,89
2021,CITY ATTORNEY,GENERAL FUND (GENERAL BUDGET),CONTRACTUAL SERVICES,1509269.00,549277.09,212000.00,47000.00,683221.11,1085047.89,90390.64,0.00,445380.16,EXPENSES,100,003040,12
2021,TRANSPORTATION,MEASURE R LOCAL RETURN FUND,PERSONNEL,82595.00,75712.12,0.00,0.00,0.00,82595.00,0.00,0.00,6882.88,,51Q,94T166,94
2021,HOUSING AND COMMUNITY INVESTMENT DEPARTMENT,"GOB SERIES 2018-A (TAXABLE), PROP HHH CONSTRUCTION FUND",BRYSON II,0.00,,10060000.00,0.00,0.00,10060000.00,0.00,0.00,10060000.00,,17C,43T927,43
2021,NON-DEPARTMENTAL - GENERAL,GENERAL FUND (GENERAL BUDGET),METROPOLIS HOTEL PROJECT TRUST FUND,3360000.00,3080000.00,0.00,0.00,0.00,3360000.00,0.00,0.00,280000.00,SPECIAL,100,62057J,62
2021,ANIMAL SERVICES,GENERAL FUND (GENERAL BUDGET),PRINTING AND BINDING,74000.00,65808.43,-3137.00,0.00,0.00,70863.00,5054.57,0.00,0.00,EXPENSES,100,002120,6
2021,NON-DEPARTMENTAL - CAPITAL IMPROVEMENT EXPENSE PROGRAM,GENERAL FUND (GENERAL BUDGET),RESEDA SKATE FACILITY,0.00,,1000000.00,0.00,0.00,1000000.00,0.00,0.00,1000000.00,SPECIAL,100,00T785,54
2021,OFFICE OF FINANCE,CODE COMPLIANCE FUND,ANIMAL SERVICES,104565.00,95851.25,0.00,0.00,0.00,104565.00,0.00,0.00,8713.75,,55R,39T106,39
2021,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,CITYWIDE RECYCLING TRUST FUND,CITY ADMINISTRATIVE OFFICER,45440.00,45440.00,0.00,0.00,0.00,45440.00,0.00,0.00,0.00,,46D,50T110,50
